cltv_total_initial,first_suggested_product_max_amount,weight
29055.1665,50000,1
20664.71907,75000,1
6762.630499,20000,0.5
2447.517452,17000,0.5
2854.545797,16200,0.5
5270.927582,20000,0.5
5652.206978,28000,1
12113.66875,35000,1
12542.83331,25000,0.5
6489.532608,30000,1
53644.92085,150000,1
18627.05734,50000,1
7152.882313,35000,1
6136.316425,16000,0.5
69471.83879,100000,1
2707.153837,35000,1
24499.22274,50000,1
456.2181865,50000,1
12464.47598,40000,1
87660.46609,200000,1
31355.01412,60000,1
4318.776926,15800,0.5
6620.292256,30000,1
5021.373114,22900,0.5
8543.818327,20000,0.5
18416.68175,56279,1
6200.27683,20000,0.5
17529.85491,80000,1
7060.067196,36000,1
7958.63215,25000,0.5
42236.93017,100000,1
47704.52612,100000,1
6251.277595,30000,1
11468.77532,20000,0.5
4973.252,25000,0.5
4871.534396,20000,0.5
10073.55347,20000,0.5
12903.60584,20000,0.5
191.0230328,27000,1
14040.84365,40000,1
10564.75639,74300,1
7840.175653,25000,0.5
8546.012205,37900,1
6031.718295,31000,1
-2784.18836,25000,0.5
22932.88011,35000,1
1189.826718,23000,0.5
1327.382858,20000,0.5
19670.44843,40000,1
12585.45711,20000,0.5
5936.089257,20000,0.5
4243.39633,20000,0.5
20386.87664,50000,1
48885.17919,100000,1
8695.967796,40000,1
26764.54968,50000,1
42061.49763,90000,1
199.0444128,35000,1
2951.86204,25000,0.5
7639.316441,150000,1
1345.134222,20000,0.5
8471.138177,50000,1
4298.025006,21200,0.5
21150.20272,50000,1
8031.976446,20000,0.5
6653.856063,22786,0.5
9020.86869,20000,0.5
27616.08605,180000,1
10092.43476,19383,0.5
11521.19107,20000,0.5
8006.839501,35000,1
7485.739066,17500,0.5
4354.613321,20000,0.5
7120.844646,40000,1
11718.63868,20000,0.5
11805.0592,30000,1
21527.13138,150000,1
21335.45429,50000,1
149725.4824,150000,1
27384.80276,50000,1
13195.43938,30000,1
5046.815367,25000,0.5
8416.08349,30000,1
12522.69717,25000,0.5
12400.0403,25000,0.5
1719.039005,19200,0.5
4118.700401,20000,0.5
9115.858411,20000,0.5
906.2879788,15699,0.5
26395.09878,30000,1
85977.32386,180000,1
9347.059607,20000,0.5
10323.39829,30000,1
13788.82286,40000,1
-1254.111594,20000,0.5
31623.39564,50000,1
6616.967509,30000,1
22652.9694,200000,1
5194.630329,18000,0.5
18495.77119,50000,1
58935.93881,50000,1
18978.21451,89500,1
6918.296027,20000,0.5
10756.15845,20000,0.5
6734.912007,39753,1
43521.4968,200000,1
2714.092145,22000,0.5
8520.484899,50000,1
14594.20896,20000,0.5
3239.781615,17000,0.5
37761.19761,150000,1
6682.167914,19000,0.5
5796.454482,25000,0.5
9860.436146,100000,1
22586.4096,110000,1
31408.54587,200000,1
19538.66096,50000,1
7740.786889,50000,1
55674.31293,125000,1
17034.09792,30000,1
10683.47413,100000,1
17250.28807,35000,1
3350.518828,30000,1
7720.440738,28000,1
10128.43839,30000,1
7878.417883,27000,1
14874.10776,50000,1
1081.676505,20000,0.5
8696.006037,20000,0.5
7336.981537,20000,0.5
5700.039217,36759,1
30904.18707,88000,1
12725.55592,20000,0.5
46900.3997,200000,1
6290.888229,40000,1
8835.779894,45000,1
10581.06414,30000,1
20257.55053,70000,1
75.06666837,20000,0.5
44050.05819,150000,1
18689.60858,50000,1
5940.477495,20000,0.5
13083.36035,60000,1
10417.2295,20000,0.5
1616.545806,33800,1
11052.48716,40000,1
66361.34925,100000,1
71733.96019,100000,1
6842.095786,20000,0.5
17993.43078,40000,1
3617.385391,75000,1
20810.59303,50000,1
20884.02697,50000,1
4545.766972,30000,1
11931.85951,25000,0.5
1877.230037,32000,1
30239.9371,150000,1
7971.067322,25000,0.5
29804.17541,50000,1
11089.43373,60000,1
274.7913397,17000,0.5
6200.749769,25000,0.5
7973.342848,20000,0.5
